"","gender","ethnicity","birth","stark","star1","star2","star3","readk","read1","read2","read3","mathk","math1","math2","math3","lunchk","lunch1","lunch2","lunch3","schoolk","school1","school2","school3","degreek","degree1","degree2","degree3","ladderk","ladder1","ladder2","ladder3","experiencek","experience1","experience2","experience3","tethnicityk","tethnicity1","tethnicity2","tethnicity3","systemk","system1","system2","system3","schoolidk","schoolid1","schoolid2","schoolid3"
"179449","female","cauc",1980 Q3,"small",NA,NA,NA,443,NA,NA,NA,520,NA,NA,NA,"non-free",NA,NA,NA,"suburban",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,18,NA,NA,NA,"cauc",NA,NA,NA,"17",NA,NA,NA,"41",NA,NA,NA
"82199","female","cauc",1979 Q4,"regular","regular+aide","regular+aide",NA,492,540,637,NA,513,557,587,NA,"free","free","free",NA,"rural","rural","rural",NA,"master","bachelor","bachelor",NA,"level2","level1","notladder",NA,11,16,4,NA,"cauc","cauc","afam",NA,"8","8","8",NA,"11","11","11",NA
"68952","female","afam",1979 Q4,"regular+aide","regular","regular+aide","regular+aide",398,NA,514,NA,405,444,497,NA,"free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","master","master","level1","probation","level1","level1",7,3,29,11,"cauc","cauc","cauc","cauc","24","24","24","24","56","56","56","56"
"32609","female","afam",1980 Q1,"regular+aide","regular+aide","regular","regular",419,453,518,562,444,479,523,546,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","bachelor","bachelor","bachelor","bachelor","apprentice","probation","level1","level1",1,17,30,31,"afam","afam","afam","afam","11","11","11","11","14","14","32","32"
"11196","female","afam",1980 Q2,"regular",NA,NA,NA,360,NA,NA,NA,320,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"master",NA,NA,NA,"probation",NA,NA,NA,6,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"33",NA,NA,NA
"122089","male","cauc",1979 Q3,"small","small","small","small",451,571,611,616,506,627,632,711,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","bachelor","bachelor","bachelor","master",NA,"apprentice","level1","level1",0,0,14,18,"cauc","cauc","cauc","cauc","4","4","4","4","4","4","4","4"
"107086","female","cauc",1980 Q2,"regular+aide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-free",NA,NA,NA,"suburban",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,5,NA,NA,NA,"afam",NA,NA,NA,"11",NA,NA,NA,"21",NA,NA,NA
"183773","male","cauc",1980 Q2,"regular+aide","regular","regular","regular",451,604,611,644,473,553,626,626,"free","free","non-free","non-free","rural","rural","rural","rural","master","bachelor","master","bachelor","level1","apprentice","level1","probation",21,1,12,3,"cauc","cauc","cauc","cauc","16","16","16","16","40","40","40","40"
"112017","male","cauc",1980 Q1,"small","small","small","small",419,497,573,547,473,510,563,570,NA,NA,"non-free","non-free","rural","rural","rural","rural","master","master","bachelor","bachelor","level1","level1","level1","apprentice",8,14,6,2,NA,"cauc","cauc","cauc","40","40","40","40","76","77","77","77"
"13179","female","cauc",1980 Q3,"regular+aide","regular","regular+aide","regular+aide",422,533,650,612,454,542,639,663,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","bachelor","bachelor","level1","level1","level1","level1",8,19,6,17,"cauc","cauc","cauc","cauc","14","14","14","14","38","38","38","38"
